000001.wav|ka3 er3 pu3 #2 pei2 wai4 sun1 #1 wan2 hua2 ti1 #4. 
000002.wav|jia3 yu3 cun1 yan2 #2 bie2 zai4 #1 yong1 bao4 wo3 #4. 
000003.wav|bao3 ma3 #1 pei4 gua4 #1 bo3 luo2 an1 #3, diao1 chan2 #1 yuan4 zhen3 #2 dong3 weng1 ta4 #4. 
000004.wav|deng4 xiao3 ping2 #2 yu3 #1 sa1 qie4 er3 #2 hui4 wu4 #4. 
000005.wav|lao3 hu3 #1 you4 zai3 #2 yu3 #1 chong3 wu4 quan3 #1 wan2 shua3 #4. 
000006.wav|shen1 chang2 #2 yue1 #1 wu3 chi3 #1 er4 cun4 #1 wu3 fen1 #2 huo4 #1 yi3 shang4 #4. 
000007.wav|zhao4 di2 #2 yue1 #1 cao2 yun2 teng2 #2 qu4 #1 gui3 wu1 #4. 
000008.wav|zhan3 pin3 #1 sui1 you3 #2, zhan3 yuan2 #1 que4 tui2 #4. 
000009.wav|yi3 #1 san3 ju1 #1 er2 tong2 #2 he2 #1 you4 tuo1 #1 er2 tong2 #1 wei2 zhu3 #4. 
000010.wav|ke1 te4 ni1 #2 shen1 chuan1 #2 bao4 wen2 #1 da4 yi1 #4. 
000011.wav|yin3 cai2 #1 yao4 shai1 #2, yong4 cai2 #2 ye3 #1 yao4 shai1 #4. 
000012.wav|nan2 yue4 #2 kun1 lun2 shan1 #2 yu3 #1 xi1 zang4 #1 jie1 rang3 #4. 
000013.wav|weng1 kai3 lan2 #3 fang2 #1 ru3 xian4 ai2 #1 xuan1 chuan2 zhao4 #4. 
000014.wav|wo3 hui2 #2 you4 heng1 heng1 #2 zuo3 heng1 heng1 #4. 
000015.wav|wu2 yun2 bao3 #1 nai3 nai3 #2 tiao1 xuan3 #1 pi2 pa2 #4. 
000016.wav|ci3 wai4 #2 guang3 ben3 #2 ye3 jiang1 you2 #2 shao4 zhuang4 pai4 #1 zhang3 guan3 #4. 
000017.wav|you4 man2 #1 wu3 #1 niao3 niao3 #3, zuo3 qiong2 #2 ge1 #1 xi1 xi1 #4. 
000018.wav|yan3 kuang4 #2 kuan1 kuo4 #1 er2 #1 di1 ai3 #3, bi2 duan3 #1 er2 kuan1 #4. 
000019.wav|xia2 pu3 #1 xian4 ya2 #2 cheng2 zhen4 #1 wu1 qi2 #3、 wa3 yao2 cun1 #2 shui3 wei4 #1 meng3 zhang3 #4. 
000020.wav|huo4 si1 yan4 #2 lu4 bei4 #1 xiu4 ru3 gou1 #2 xing4 gan3 #1 re3 huo3 #4. 
000021.wav|ye3 #1 ke3 yi3 #2 gei3 #1 ben3 wei3 yuan2 #1 fan3 ying4 yo1 #4. 
000022.wav|yao2 lan2 pai2 #2 gai4 wei2 jian4 #2 ying1 er2 #2 pei4 fang1 #1 nai3 fen3 #4. 
000023.wav|e4 yu4 #2 lu3 wan3 su1 #2 ju2 de #1 da4 bao4 yu3 #4. 
000024.wav|yi3 xia4 #2 wei4 #1 xue1 man2 zi #2 guan1 dian3 #1 zhai1 yao4 #4. 
000025.wav|chen2 yu2 #1 luo4 yan4 #3, bi4 yue4 #1 xiu1 hua1 #4. 
000026.wav|er2 #1 xu3 guan1 ying1 #3 yi4 #1 jiang1 yu2 #2 ming2 ri4 #1 chu1 bin4 #4. 
000027.wav|a1 jiao1 #2 yu3 #1 bai3 wei4 #1“ gui3 fen3 si1 #1” kuang2 huan1 #4. 
000028.wav|fang2 wu1 #2 mai3 mai4 #1 qi4 yue1 #2 he2 #1 shou1 tiao2 #4. 
000029.wav|liu2 wan1 er2 #2 dou1 de2 #2 duo3 yuan3 dian3 #4. 
000030.wav|hei1 xiong2 #2 chuang3 jin4 #2 wang2 ming2 hui1 jia1 #2 hou4 yuan4 #1 mi4 shi2 #4. 
